ACLS_7 | INTENT LOGGER
RECOGNIZED | in: AttachMonitor, sr: Attacchiamo al monitor?, score: 0,28767958
RECOGNIZED | in: GiveOxygen, sr: Diamo ossigeno., score: 0,5131469
RECOGNIZED | in: StartCPR, sr: Effettua il massaggio cardiaco., score: 0,43071783
RECOGNIZED | in: AskForRhythm, sr: Controlla lo stato del paziente., score: 0,88762856
RECOGNIZED | in: Shock, sr: Diamo una scarica., score: 0,18761313
RECOGNIZED | in: StartCPR, sr: Effettua un'altro massaggio cardiaco., score: 0,2870277
RECOGNIZED | in: IVAccess, sr: Effettuiamo l'accesso venoso., score: 0,9186442
RECOGNIZED | in: AskForRhythm, sr: Battito., score: 0,92930925
RECOGNIZED | in: Shock, sr: Scarica., score: 0,70454425
RECOGNIZED | in: StartCPR, sr: Massaggio cardiaco., score: 0,87679243
RECOGNIZED | in: Epinephrine, sr: Somministriamo 1 mg di epinefrina., score: 0,0789517
RECOGNIZED | in: Capnography, sr: In dobbiamo il paziente., score: 0,15482514
RECOGNIZED | in: AskForRhythm, sr: Stato del paziente?, score: 0,2451989
