ACLS_2 | INTENT LOGGER
RECOGNIZED | in: AttachMonitor, sr: Attacca il monitor., score: 0,09401879
RECOGNIZED | in: GiveOxygen, sr: Diamo ossigeno., score: 0,5131469
RECOGNIZED | in: StartCPR, sr: Effetto un massaggio cardiaco., score: 0,5071017
RECOGNIZED | in: AskForRhythm, sr: Controllo lo stato del paziente., score: 0,3253251
RECOGNIZED | in: Shock, sr: Diamo una scarica., score: 0,18761313
RECOGNIZED | in: StartCPR, sr: Effettua un'altro massaggio cardiaco., score: 0,2870277
RECOGNIZED | in: IVAccess, sr: Effettuiamo l'accesso venoso., score: 0,9186442
RECOGNIZED | in: StartCPR, sr: Batti tu., score: 0,034031413
RECOGNIZED | in: AskForRhythm, sr: Controlla il battito., score: 0,99298614
RECOGNIZED | in: Shock, sr: Scarica., score: 0,70454425
RECOGNIZED | in: StartCPR, sr: Massaggio cardiaco., score: 0,87679243
RECOGNIZED | in: Epinephrine, sr: Somministriamo 1 mg di epinefrina., score: 0,0789517
RECOGNIZED | in: Capnography, sr: Procediamo con l'intubazione., score: 0,96212476
RECOGNIZED | in: AskForRhythm, sr: Stato del paziente?, score: 0,2451989
RECOGNIZED | in: AmiodaroneFirstDose, sr: Iniettiamo della dell'AMIODARONE., score: 0,9298204
RECOGNIZED | in: AskForRhythm, sr: Battito., score: 0,92930925
